Date,Region_0,Region_1,Region_2
2023-01-01,0.01585515519086693,0.042251646903820814,0.0740524064171123
2023-01-08,0.016173385658223332,0.04254611330698287,0.0732
2023-01-15,0.01639921512665002,0.0429532279314888,0.07201711229946524
2023-01-22,0.016637531216553692,0.04323583662714098,0.07128128342245989
2023-01-29,0.016840171245094543,0.043640316205533596,0.07074224598930481
2023-02-05,0.016878701391366394,0.043761528326745715,0.0696855614973262
2023-02-12,0.0171287905815198,0.044012516469038206,0.06920855614973262
2023-02-19,0.017449161612557974,0.04412779973649539,0.06827914438502673
2023-02-26,0.017641098822689976,0.04470223978919631,0.06749625668449198
2023-03-05,0.017907599001070282,0.04453754940711462,0.06648235294117646
2023-03-12,0.01805280057081698,0.04471212121212121,0.06578288770053475
2023-03-19,0.018265073135925795,0.04502569169960474,0.06531550802139037
2023-03-26,0.018534784159828756,0.045334650856389984,0.06473903743315508
2023-04-02,0.018844095611844452,0.045285902503293805,0.0645336898395722
2023-04-09,0.018998216196931858,0.045302371541501976,0.06402994652406417
2023-04-16,0.01916767748840528,0.04552832674571805,0.06321497326203208
2023-04-23,0.01927613271494827,0.04558102766798419,0.06292727272727272
2023-04-30,0.01958116303960043,0.04590250329380764,0.06277433155080214
2023-05-07,0.01976346771316447,0.04611725955204216,0.06265775401069519
2023-05-14,0.019998929718159114,0.046244400527009226,0.06239251336898396
2023-05-21,0.02016375312165537,0.04643544137022398,0.061427807486631014
2023-05-28,0.020260435247948627,0.0465862977602108,0.060755080213903745
2023-06-04,0.02048876204067071,0.046447957839262186,0.06064385026737968
2023-06-11,0.020848376739207992,0.04650790513833992,0.06002887700534759
2023-06-18,0.020905458437388513,0.0465197628458498,0.06003529411764706
2023-06-25,0.020935069568319656,0.046822793148880104,0.05943208556149732
2023-07-02,0.021109168747770246,0.04686429512516469,0.05924919786096257
2023-07-09,0.02114734213342847,0.04679907773386034,0.05879679144385027
2023-07-16,0.02127363539065287,0.04708695652173913,0.05858288770053476
2023-07-23,0.021495540492329646,0.04703227931488801,0.05820320855614973
2023-07-30,0.021776311095255085,0.047242424242424245,0.0580192513368984
2023-08-06,0.021937566892615057,0.04725691699604743,0.05784705882352941
2023-08-13,0.022299678915447735,0.0475171277997365,0.05750588235294118
2023-08-20,0.02251980021405637,0.04744466403162055,0.05695294117647059
2023-08-27,0.022735283624687835,0.047370882740447956,0.05631764705882353
2023-09-03,0.02307384944702105,0.04734123847167326,0.056075935828877
2023-09-10,0.023217623974313237,0.04762582345191041,0.05631764705882353
2023-09-17,0.023252229753835178,0.047442687747035577,0.056066310160427804
2023-09-24,0.023338565822333214,0.046930830039525695,0.05563529411764706
2023-10-01,0.02360292543703175,0.04684782608695652,0.055033155080213905
2023-10-08,0.023953977880841956,0.04673254281949934,0.05464491978609626
2023-10-15,0.024137352836246878,0.046790513833992096,0.05453262032085562
2023-10-22,0.024320371031038172,0.04715415019762846,0.05471550802139037
2023-10-29,0.024543703175169462,0.04726152832674572,0.054662032085561495
2023-11-05,0.024788440956118443,0.04757444005270092,0.05426310160427807
2023-11-12,0.02491259364966108,0.04742753623188406,0.05380748663101604
2023-11-19,0.02505066000713521,0.04712384716732543,0.05357754010695187
2023-11-26,0.02524687834463075,0.047349143610013175,0.05354331550802139
2023-12-03,0.025414555833036034,0.04731357048748353,0.05312941176470588
2023-12-10,0.02565037459864431,0.04737944664031621,0.05271764705882353
2023-12-17,0.025661077417053157,0.0476034255599473,0.052640641711229945
2023-12-24,0.025685693899393507,0.047380105401844536,0.052624598930481284
2023-12-31,0.025712094184801998,0.047414361001317525,0.052394652406417115
2024-01-07,0.025819122368890474,0.04739130434782609,0.05201390374331551
2024-01-14,0.026081341419907242,0.04751910408432147,0.05171978609625669
2024-01-21,0.026128077060292545,0.04752964426877471,0.05142032085561497
2024-01-28,0.026437031751694613,0.04772529644268775,0.051488770053475935
2024-02-04,0.026422047805922225,0.04771277997364954,0.05131978609625668
2024-02-11,0.02652764894755619,0.04751910408432147,0.05141711229946524
2024-02-18,0.026536924723510526,0.04757773386034256,0.050775401069518715
2024-02-25,0.02681983589011773,0.04758036890645586,0.0503379679144385
2024-03-03,0.02698929718159115,0.04769235836627141,0.05042566844919786
2024-03-10,0.027285408490902604,0.047685111989459815,0.050206417112299465
2024-03-17,0.02747413485551195,0.04772924901185771,0.049763636363636364
2024-03-24,0.027775597574027828,0.04795915678524374,0.04942459893048128
2024-03-31,0.028019621833749554,0.04802239789196311,0.049038502673796794
2024-04-07,0.028187299322154833,0.04803491436100132,0.048531550802139035
2024-04-14,0.0284823403496254,0.04837088274044796,0.04855614973262032
2024-04-21,0.028584373885123082,0.0482536231884058,0.048405347593582886
2024-04-28,0.02891009632536568,0.04855138339920949,0.048106951871657755
2024-05-05,0.028913307170888334,0.048499341238471674,0.047958288770053474
2024-05-12,0.029101320014270425,0.04857707509881423,0.04788983957219251
2024-05-19,0.029255083838744204,0.04831949934123847,0.04781497326203209
2024-05-26,0.029481270067784518,0.04797760210803689,0.047485561497326204
2024-06-02,0.029586157688191225,0.048035573122529644,0.04729090909090909
2024-06-09,0.029713164466642884,0.048071805006587615,0.047289839572192516
2024-06-16,0.029800927577595435,0.04838208168642951,0.04738823529411765
2024-06-23,0.029904388155547627,0.04851515151515152,0.04721069518716577
2024-06-30,0.030103460577952195,0.04839591567852437,0.04706631016042781
2024-07-07,0.030241526935426328,0.04840579710144927,0.0465668449197861
2024-07-14,0.030417053157331432,0.048281949934123845,0.04672727272727273
