Date,Region_0,Region_1,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Region_8
2023-01-01,0.016378787878787878,0.01610727969348659,0.017884023668639053,0.025321008403361343,0.03741238938053097,0.08114245810055866,0.07557293868921776,0.05530628272251309,0.1492625
2023-01-08,0.0176,0.01812005108556833,0.019088165680473373,0.0281781512605042,0.037730973451327435,0.07878491620111731,0.0745813953488372,0.05641623036649215,0.139425
2023-01-15,0.01915757575757576,0.020300127713920816,0.02024674556213018,0.03031596638655462,0.038146902654867254,0.07698324022346369,0.07417124735729387,0.05656544502617801,0.1310125
2023-01-22,0.02034242424242424,0.022015325670498083,0.021219526627218935,0.03280672268907563,0.03826371681415929,0.07449162011173184,0.07299365750528541,0.05767539267015707,0.1229625
2023-01-29,0.021312121212121213,0.02351213282247765,0.022090532544378698,0.035030252100840334,0.03853097345132744,0.0733631284916201,0.07202325581395348,0.058382198952879584,0.1143375
2023-02-05,0.02271212121212121,0.024790549169859514,0.023494082840236685,0.03709579831932773,0.039123893805309735,0.07141061452513967,0.07106342494714588,0.0587696335078534,0.10845
2023-02-12,0.023493939393939393,0.02637420178799489,0.024602366863905326,0.0381344537815126,0.039405309734513276,0.07015642458100559,0.07017336152219873,0.05782460732984293,0.1009
2023-02-19,0.02434848484848485,0.027628352490421455,0.025611242603550296,0.03966890756302521,0.04036106194690266,0.06897206703910615,0.06874418604651163,0.05732984293193717,0.0971875
2023-02-26,0.025315151515151516,0.028478927203065135,0.026658579881656805,0.040347899159663865,0.04091504424778761,0.06692178770949721,0.06720718816067653,0.0567565445026178,0.0922375
2023-03-05,0.02616969696969697,0.02961558109833972,0.027605917159763314,0.04093445378151261,0.04140884955752212,0.06555027932960894,0.06647357293868922,0.056151832460732985,0.0878
2023-03-12,0.027506060606060607,0.030596424010217112,0.028797633136094673,0.04156470588235294,0.04186725663716814,0.06475698324022347,0.0648816067653277,0.05562303664921466,0.08405
2023-03-19,0.028281818181818182,0.03143933588761175,0.029642011834319526,0.04195126050420168,0.0419787610619469,0.06370111731843575,0.06399154334038056,0.05582460732984293,0.0799625
2023-03-26,0.029442424242424242,0.03231289910600255,0.03056923076923077,0.042680672268907566,0.042336283185840706,0.06177653631284916,0.06290274841437632,0.05607329842931937,0.0774875
2023-04-02,0.03044848484848485,0.03335632183908046,0.031427810650887573,0.043327731092436976,0.04286548672566372,0.06162011173184358,0.06261945031712474,0.056599476439790575,0.0749625
2023-04-09,0.03149090909090909,0.03454022988505747,0.03219822485207101,0.04392268907563025,0.04333982300884956,0.060282122905027935,0.06149048625792812,0.0566282722513089,0.072425
2023-04-16,0.032387878787878785,0.03480332056194125,0.032769230769230766,0.04430924369747899,0.04383008849557522,0.059243016759776536,0.060243128964059194,0.05671204188481675,0.0711125
2023-04-23,0.03236666666666667,0.03567177522349936,0.0334905325443787,0.044810084033613445,0.04423716814159292,0.05828212290502793,0.05984143763213531,0.05609685863874345,0.0692125
2023-04-30,0.032387878787878785,0.03634099616858238,0.03415562130177515,0.04505378151260504,0.04448318584070796,0.0579804469273743,0.05863636363636364,0.05538743455497382,0.0678625
2023-05-07,0.033378787878787876,0.0372375478927203,0.03489349112426036,0.045569747899159664,0.04447787610619469,0.05714804469273743,0.05767441860465116,0.05506282722513089,0.0655375
2023-05-14,0.034221212121212125,0.03810089399744572,0.0355603550295858,0.04563697478991597,0.044968141592920355,0.05693016759776536,0.05648202959830867,0.05530104712041885,0.063875
2023-05-21,0.03448787878787879,0.03898339719029374,0.03624201183431953,0.045394957983193276,0.04548495575221239,0.05587430167597766,0.05584566596194503,0.05474607329842932,0.06335
2023-05-28,0.034806060606060604,0.03960791826309068,0.036897633136094676,0.0461327731092437,0.04568141592920354,0.054804469273743016,0.05545243128964059,0.05480628272251309,0.0614125
2023-06-04,0.03515151515151515,0.04006641123882503,0.037514201183431954,0.04608403361344538,0.045791150442477876,0.05487988826815642,0.055473572938689215,0.05362303664921466,0.059975
2023-06-11,0.03651212121212121,0.040664112388250316,0.037850295857988166,0.0464890756302521,0.04532035398230089,0.053818435754189944,0.05503171247357294,0.0536151832460733,0.0591625
2023-06-18,0.03687272727272727,0.04115581098339719,0.03789704142011834,0.046480672268907564,0.045592920353982304,0.053022346368715084,0.05484355179704017,0.05372251308900523,0.05785
2023-06-25,0.037403030303030306,0.041676883780332054,0.03833491124260355,0.04618151260504202,0.045913274336283186,0.05238826815642458,0.05433192389006342,0.05361256544502618,0.05925
2023-07-02,0.037645454545454544,0.041727969348659,0.038898816568047334,0.04617647058823529,0.045819469026548675,0.05150837988826815,0.054570824524312896,0.052916230366492144,0.0579375
2023-07-09,0.037909090909090906,0.04261941251596424,0.03944023668639053,0.04620840336134454,0.04612212389380531,0.051081005586592176,0.0545200845665962,0.05237958115183246,0.0573625
2023-07-16,0.03754848484848485,0.04325542784163474,0.03962485207100592,0.046431932773109245,0.046527433628318585,0.050337988826815644,0.05459408033826638,0.05225392670157068,0.0567375
2023-07-23,0.03798484848484848,0.04376500638569604,0.039772781065088754,0.0462,0.0462141592920354,0.05041061452513967,0.05373784355179704,0.05238219895287958,0.054925
2023-07-30,0.038706060606060605,0.04400510855683269,0.04018816568047337,0.04646050420168067,0.0459646017699115,0.05053631284916201,0.053909090909090907,0.05175392670157068,0.0558125
2023-08-06,0.03858787878787879,0.04408684546615581,0.04046627218934911,0.0463781512605042,0.04616283185840708,0.050583798882681566,0.053581395348837206,0.05117015706806283,0.0554625
